County,Name,Category,Address,"City, State",Phone
albany,WATERVLIET PHARMACY ACQUISITION LLC,(pharmacy freestanding),601 19TH ST,"WATERVLIET, NEW YORK",(518) 273-1402
albany,PRICE CHOPPER PHARMACY #159,(pharmacy freestanding),1395 NEW SCOTLAND RD,"SLINGERLANDS, NEW YORK",(518) 379-1618
albany,ALBANY MEDICAL CENTER PHARMACY,(pharmacy freestanding),43 NEW SCOTLAND AVE RM F-103,"ALBANY, NEW YORK",(518) 262-3271
albany,NYS OFFICE OF MENTAL HLTH,(pharmacy freestanding),44 HOLLAND AVE,"ALBANY, NEW YORK",(518) 474-1942
albany,SAMS EAST INC,(pharmacy freestanding),579 TROY SCHENECTADY RD,"LATHAM, NEW YORK",(405) 202-9925
albany,GENOA HEALTHCARE LLC,(pharmacy freestanding),260 S PEARL ST STE P,"ALBANY, NEW YORK",(518) 641-1548
albany,CONNECTRX LATHAM LLC,(pharmacy freestanding),6 WELLNESS WAY STE 104,"LATHAM, NEW YORK",(518) 313-1016
albany,SAMARITAN HOSPITAL,(pharmacy freestanding),63 SHAKER RD STE G02,"ALBANY, NEW YORK",(518) 525-5537
albany,WALMART PHARMACY 10-3583,(pharmacy freestanding),311 ROUTE 9W,"GLENMONT, NEW YORK",(518) 432-1747
albany,WAL-MART PHARMACY 10-2152,(pharmacy freestanding),141 WASHINGTON AVENUE EXT,"ALBANY, NEW YORK",(479) 224-9114
albany,HEALTH RESEARCH INCORPORATED,(pharmacy freestanding),150 BROADWAY STE 400,"MENANDS, NEW YORK",(518) 459-1641
albany,CVS ALBANY LLC,(pharmacy dme freestanding),485 COLUMBIA ST,"COHOES, NEW YORK",(518) 235-7251
albany,WALGREENS #19787,(pharmacy dme freestanding),933 LOUDON RD,"LATHAM, NEW YORK",(847) 527-2207
albany,WALGREENS EASTERN CO INC,(pharmacy dme freestanding),1850 CENTRAL AVE,"ALBANY, NEW YORK",(847) 527-2207
albany,HANNAFORD BROS CO # 8233,(pharmacy dme freestanding),5 MAPLE RD,"VOORHEESVILLE, NEW YORK",(207) 885-3624
albany,CVS ALBANY LLC,(pharmacy dme freestanding),1475 WESTERN AVE,"ALBANY, NEW YORK",(518) 482-8759
albany,CVS ALBANY LLC,(pharmacy dme freestanding),885 CENTRAL AVE,"ALBANY, NEW YORK",(518) 459-4550
albany,CVS ALBANY LLC,(pharmacy dme freestanding),16 NEW SCOTLAND AVE,"ALBANY, NEW YORK",(518) 434-0677
albany,GEM DRUG CORPORATION,(pharmacy dme freestanding),300 MORTON AVE,"ALBANY, NEW YORK",(518) 465-2253
